County,City,Pop_T,Pop_R,Pop_NR,Urban_Rate,Birth_Rate,Death_Rate,Nat_Growth,Pop_Density
Anhua,Yiyang,101,35.2,65.8,34.9,13.2,7.2,6,195
Anren,Chenzhou,43.2,14.6,28.6,33.8,12.8,6.8,6,310
Anxiang,Changde,60.1,20.5,39.6,34.1,12.5,6.5,6,320
Baojing,Hunan West,31.5,9.8,21.7,31.1,13.4,7.4,6,130
Chaling,Zhuzhou,61.6,21.4,40.2,34.7,12.9,6.9,6,305
Changning,Hengyang,96.4,36.2,60.2,37.6,13.1,7.1,6,420
Changsha,Changsha,79.2,68.4,10.8,86.4,10.8,5.8,5,580
Chengbu,Shaoyang,28.5,8.2,20.3,28.8,13.6,7.6,6,195
Chenxi,Huaihua,53.2,18.6,34.6,35,13.2,7.2,6,195
Cili,Zhangjiajie,70.4,22.4,48,31.8,12.4,6.4,6,240
Dao,Yongzhou,81.6,28.4,53.2,34.8,13.5,7.5,6,260
Dongan,Yongzhou,61.4,22.1,39.3,36,12.9,6.9,6,310
Dongkou,Shaoyang,85.3,26.8,58.5,31.4,13.1,7.1,6,340
Fenghuang,Hunan West,41.5,12.4,29.1,29.9,13.8,7.8,6,155
Guidong,Chenzhou,23.4,7.2,16.2,30.8,13.4,7.4,6,165
Guiyang,Chenzhou,85.9,34.5,51.4,40.2,12.6,6.6,6,285
Guzhang,Hunan West,14.1,3.8,10.3,27,14,8,6,105
Hanshou,Changde,84.6,26.2,58.4,31,12.7,6.7,6,340
Hengdong,Hengyang,74.4,22.4,52,30.1,13.2,7.2,6,305
Hengnan,Hengyang,112,40.1,71.9,35.8,12.9,6.9,6,520
Hengshan,Hengyang,44.3,13.2,31.1,29.8,13,7,6,235
Hengyang,Hengyang,122.5,52.4,70.1,42.8,12.8,6.8,6,610
Hongjiang,Huaihua,51.4,24.5,26.9,47.7,12.4,6.4,6,195
Huarong,Yueyang,71.7,28.5,43.2,39.7,12.6,6.6,6,310
Huayuan,Hunan West,30.8,8.4,22.4,27.3,13.5,7.5,6,130
Huitong,Huaihua,36.1,11.2,24.9,31,13.3,7.3,6,175
Jiahe,Chenzhou,39.2,12.4,26.8,31.6,13.1,7.1,6,250
Jianghua,Yongzhou,51.3,16.8,34.5,32.7,13.4,7.4,6,305
Jiangyong,Yongzhou,26.5,7.4,19.1,27.9,13.6,7.6,6,175
Jingzhou,Huaihua,26.8,8.2,18.6,30.6,12.9,6.9,6,145
Jinshi,Changde,26.2,12.4,13.8,47.3,11.8,6,5.8,380
Jishou,Hunan West,30.7,19.8,10.9,64.5,12.2,6.2,6,265
Lanshan,Yongzhou,38.4,10.6,27.8,27.6,13.5,7.5,6,155
Leiyang,Hengyang,140.3,58.4,81.9,41.6,12.6,6.6,6,490
Lengshuijiang,Loudi,36.4,22.4,14,61.5,11.5,6.2,5.3,440
Li,Changde,93.9,32.8,61.1,34.9,12.8,6.8,6,380
Lianyuan,Loudi,118,40.2,77.8,34.1,13.2,7.2,6,480
Liling,Zhuzhou,106.5,40.5,66,38,12.5,6.5,6,320
Linli,Changde,45.9,14.5,31.4,31.6,12.9,6.9,6,250
Linwu,Chenzhou,38.5,11.2,27.3,29.1,13.3,7.3,6,215
Linxiang,Yueyang,52.4,18.4,34,35.1,12.7,6.7,6,270
Liuyang,Changsha,145.5,65.4,80.1,44.9,12.4,6.4,6,350
Longhui,Shaoyang,121.6,36.4,85.2,29.9,13.4,7.4,6,470
Longshan,Hunan West,58.3,16.8,41.5,28.8,13.7,7.7,6,190
Luxi,Hunan West,31.6,8.4,23.2,26.6,13.8,7.8,6,175
Mayang,Huaihua,40.2,11.5,28.7,28.6,13.5,7.5,6,215
Miluo,Yueyang,74.5,28.4,46.1,38.1,12.8,6.8,6,310
Nan,Yiyang,82.4,28.2,54.2,34.2,13,7,6,460
Ningxiang,Changsha,142.3,74.2,68.1,52.1,11.2,5.9,5.3,390
Ningyuan,Yongzhou,84.7,24.5,60.2,28.9,13.2,7.2,6,250
Pingjiang,Yueyang,108.5,36.4,72.1,33.6,13.1,7.1,6,330
Qidong,Hengyang,102.3,34.5,67.8,33.7,13.3,7.3,6,400
Qiyang,Yongzhou,106.4,30.4,76,28.6,13.5,7.5,6,415
Rucheng,Chenzhou,39.8,11.2,28.6,28.1,13.4,7.4,6,190
Sangzhi,Zhangjiajie,47.2,12.4,34.8,26.3,13.6,7.6,6,165
Shaodong,Shaoyang,130.7,46.2,84.5,35.3,13,7,6,500
Shaoshan,Xiangtan,9.8,5.4,4.4,55.1,10.6,6.2,4.4,280
Shaoyang,Shaoyang,130.5,58.2,72.3,44.6,12.2,6.4,5.8,490
Shimen,Changde,66.7,22.4,44.3,33.6,12.9,6.9,6,250
Shuangfeng,Loudi,97.6,36.5,61.1,37.4,13.2,7.2,6,415
Shuangpai,Yongzhou,18.6,5.4,13.2,29,13.8,7.8,6,110
Suining,Shaoyang,38.2,11.2,27,29.3,13.4,7.4,6,260
Taojiang,Yiyang,88,34.5,53.5,39.2,12.8,6.8,6,380
Taoyuan,Changde,98.5,32.4,66.1,32.9,12.7,6.7,6,340
Tongdao,Huaihua,34,9.8,24.2,28.8,13.5,7.5,6,165
Wangcheng,Changsha,54.5,48.2,6.3,88.4,11,5.8,5.2,430
Wugang,Shaoyang,84.2,26.4,57.8,31.4,13.1,7.1,6,410
Xiangtan,Xiangtan,88.9,42.5,46.4,47.8,11.5,6.3,5.2,415
Xiangxiang,Xiangtan,100.1,34.2,65.9,34.2,12.6,6.6,6,435
Xiangyin,Yueyang,76.2,22.4,53.8,29.4,12.9,6.9,6,300
Xinhua,Loudi,142.6,42.5,100.1,29.8,13.3,7.3,6,460
Xinhuang,Huaihua,27.8,8.4,19.4,30.2,13.6,7.6,6,160
Xinning,Shaoyang,65.3,18.6,46.7,28.5,13.4,7.4,6,305
Xinshao,Shaoyang,80.2,26.8,53.4,33.4,13.2,7.2,6,460
Xintian,Yongzhou,42.5,12.5,30,29.4,13.5,7.5,6,215
Xupu,Huaihua,93.4,24.5,68.9,26.2,13.1,7.1,6,305
Yanling,Zhuzhou,25.8,8.2,17.6,31.8,13.3,7.3,6,165
Yizhang,Chenzhou,65.1,22.4,42.7,34.4,13,7,6,275
Yongshun,Hunan West,53.8,14.6,39.2,27.1,13.7,7.7,6,190
Yongxing,Chenzhou,64.2,20.2,44,31.5,13.2,7.2,6,260
You,Zhuzhou,82.4,30.4,52,36.9,12.4,6.4,6,445
Yuanjiang,Yiyang,75.1,24.5,50.6,32.6,12.8,6.8,6,300
Yuanling,Huaihua,64.2,18.6,45.6,29,13.4,7.4,6,220
Yueyang,Yueyang,105.5,54.2,51.3,51.4,12.5,6.5,6,425
Zhijiang,Huaihua,38.4,11.2,27.2,29.2,13.5,7.5,6,195
Zhongfang,Huaihua,28.7,8.4,20.3,29.3,13.8,7.8,6,165
Zhuzhou,Zhuzhou,94.6,50.2,44.4,53.1,11.8,6.2,5.6,510
Zixing,Chenzhou,37.2,14.8,22.4,39.8,12.4,6.4,6,195
